x,y
841.0,0.601
200.0,0.804
112.0,0.23600000000000002
61.0,0.433
853.0,0.583
206.0,0.28200000000000003
356.0,0.743
181.0,0.263
21.0,0.401
209.0,0.762
16.0,0.35100000000000003
213.0,0.61
202.0,0.742
281.0,0.525
212.0,0.726
459.0,0.03
457.0,0.7020000000000001
404.0,0.47700000000000004
122.0,0.647
723.0,0.776
59.0,0.256
950.0,0.893
72.0,0.444
929.0,0.614
163.0,0.668
951.0,0.878
105.0,0.327
270.0,0.786
298.0,0.866
851.0,0.561
238.0,0.681
275.0,0.759
185.0,0.913
265.0,0.64
942.0,0.62
137.0,0.721
487.0,0.295
297.0,0.777
198.0,0.787
979.0,0.517
966.0,0.874
324.0,0.621
588.0,0.553
306.0,0.585
199.0,0.355
502.0,0.903
681.0,0.522
169.0,0.767
197.0,0.648
84.0,0.29
93.0,0.402
944.0,0.545
261.0,0.903
159.0,0.227
94.0,0.879
875.0,0.653
256.0,0.884
283.0,0.788
17.0,0.343
194.0,0.551
242.0,0.7000000000000001
246.0,0.898
210.0,0.739
357.0,0.649
865.0,0.589
338.0,0.744
212.0,0.5630000000000001
156.0,0.733
988.0,0.933
158.0,0.218
174.0,0.853
121.0,0.361
387.0,0.658
84.0,0.226
193.0,0.301
199.0,0.857
110.0,0.358
83.0,0.39
175.0,0.973
69.0,0.352
181.0,0.23800000000000002
48.0,0.395
174.0,0.728
195.0,0.528
253.0,0.675
253.0,0.744
293.0,0.528
971.0,0.965
170.0,0.873
152.0,0.646
204.0,0.621
210.0,0.7010000000000001
917.0,0.683
54.0,0.292
179.0,0.784
82.0,0.421
238.0,0.721
834.0,0.178
945.0,0.616
17.0,0.371
192.0,0.28300000000000003
161.0,0.253
173.0,0.277
207.0,0.389
291.0,0.536
914.0,0.666
359.0,0.745
270.0,0.793
106.0,0.384
211.0,0.261
968.0,0.735
211.0,0.352
946.0,0.128
221.0,0.644
152.0,0.318
737.0,0.313
136.0,0.4
12.0,0.389
134.0,0.593
988.0,0.5740000000000001
243.0,0.519
533.0,0.34
220.0,0.33
69.0,0.276
865.0,0.5710000000000001
233.0,0.732
901.0,0.578
121.0,0.321
154.0,0.271
346.0,0.591
227.0,0.452
147.0,0.298
948.0,0.9380000000000001
74.0,0.6910000000000001
159.0,0.079
349.0,0.191
28.0,0.308
995.0,0.658
201.0,0.323
382.0,0.635
316.0,0.642
160.0,0.366
80.0,0.397
173.0,0.354
162.0,0.279
245.0,0.719
304.0,0.545
237.0,0.856
635.0,0.343
246.0,0.808
315.0,0.655
63.0,0.264
269.0,0.751
249.0,0.641
101.0,0.395
286.0,0.864
37.0,0.318
284.0,0.891
96.0,0.313
207.0,0.777
150.0,0.249
71.0,0.376
931.0,0.527
985.0,0.638
202.0,0.8200000000000001
231.0,0.522
699.0,0.501
343.0,0.223
209.0,0.589
12.0,0.292
995.0,0.617
71.0,0.4
213.0,0.856
984.0,0.585
338.0,0.084
273.0,0.919
242.0,0.597
949.0,0.265
915.0,0.646
239.0,0.754
58.0,0.425
130.0,0.621
967.0,0.66
366.0,0.71
223.0,0.777
442.0,0.158
318.0,0.711
140.0,0.326
272.0,0.20400000000000001
951.0,0.707
988.0,0.019
941.0,0.8130000000000001
238.0,0.733
212.0,0.794
282.0,0.711
218.0,0.6910000000000001
933.0,0.532
199.0,0.291
114.0,0.323
218.0,0.681
285.0,0.8270000000000001
371.0,0.708
164.0,0.761
986.0,0.522
961.0,0.896
29.0,0.278
224.0,0.28800000000000003
132.0,0.28400000000000003
235.0,0.07100000000000001
493.0,0.375
110.0,0.431
217.0,0.611
214.0,0.265
885.0,0.619
230.0,0.789
111.0,0.34700000000000003
126.0,0.221
342.0,0.6940000000000001
916.0,0.9450000000000001
115.0,0.632
369.0,0.704
208.0,0.523
323.0,0.556
234.0,0.328
173.0,0.8210000000000001
206.0,0.417
295.0,0.654
64.0,0.314
911.0,0.847
940.0,0.58
881.0,0.521
186.0,0.23500000000000001
364.0,0.5650000000000001
205.0,0.912
659.0,0.929
168.0,0.84
207.0,0.795
240.0,0.639
185.0,0.6910000000000001
181.0,0.394
161.0,0.546
216.0,0.84
121.0,0.417
248.0,0.874
862.0,0.653
315.0,0.61
196.0,0.264
260.0,0.8310000000000001
264.0,0.757
728.0,0.033
335.0,0.616
103.0,0.54
907.0,0.668
216.0,0.687
145.0,0.219
931.0,0.655
198.0,0.548
164.0,0.997
302.0,0.714
993.0,0.922
100.0,0.361
370.0,0.639
146.0,0.686
297.0,0.861
890.0,0.672
271.0,0.595
183.0,0.20500000000000002
136.0,0.645
999.0,0.931
202.0,0.869
240.0,0.765
573.0,0.281
99.0,0.378
164.0,0.836
196.0,0.877
339.0,0.761
215.0,0.687
345.0,0.753
887.0,0.602
346.0,0.615
873.0,0.5650000000000001
23.0,0.269
352.0,0.5760000000000001
352.0,0.612
951.0,0.68
12.0,0.369
291.0,0.252
983.0,0.964
24.0,0.253
274.0,0.759
759.0,0.811
272.0,0.876
337.0,0.56
233.0,0.671
884.0,0.598
62.0,0.28200000000000003
167.0,0.425
291.0,0.766
944.0,0.527
77.0,0.711
239.0,0.594
208.0,0.773
125.0,0.619
765.0,0.606
278.0,0.865
75.0,0.23700000000000002
66.0,0.331
397.0,0.992
276.0,0.10300000000000001
810.0,0.76
170.0,0.296
971.0,0.537
688.0,0.27
223.0,0.302
878.0,0.651
965.0,0.923
211.0,0.548
203.0,0.8140000000000001
170.0,0.374
97.0,0.355
736.0,0.595
139.0,0.587
948.0,0.5690000000000001
380.0,0.671
192.0,0.254
89.0,0.357
988.0,0.534
288.0,0.654
187.0,0.914
152.0,0.34500000000000003
247.0,0.779
327.0,0.639
379.0,0.6970000000000001
912.0,0.644
136.0,0.603
304.0,0.877
827.0,0.21
178.0,0.555
953.0,0.935
123.0,0.431
383.0,0.617
172.0,0.607
287.0,0.838
48.0,0.419
116.0,0.6
891.0,0.674
266.0,0.731
794.0,0.664
202.0,0.859
220.0,0.927
172.0,0.683
30.0,0.258
381.0,0.614
66.0,0.357
368.0,0.66
882.0,0.629
192.0,0.6980000000000001
218.0,0.621
138.0,0.641
389.0,0.683
111.0,0.294
441.0,0.619
136.0,0.336
141.0,0.625
368.0,0.61
195.0,0.23800000000000002
236.0,0.524
160.0,0.627
353.0,0.639
217.0,0.368
927.0,0.59
190.0,0.374
894.0,0.612
216.0,0.866
876.0,0.557
858.0,0.644
156.0,0.723
249.0,0.762
120.0,0.28
980.0,0.667
291.0,0.838
359.0,0.214
681.0,0.85
975.0,0.891
229.0,0.591
718.0,0.937
218.0,0.734
832.0,0.521
878.0,0.558
585.0,0.6900000000000001
84.0,0.373
40.0,0.254
961.0,0.924
270.0,0.74
145.0,0.251
173.0,0.34500000000000003
122.0,0.683
205.0,0.742
164.0,0.26
997.0,0.893
208.0,0.712
986.0,0.556
30.0,0.359
186.0,0.715
439.0,0.604
617.0,0.453
204.0,0.561
117.0,0.732
250.0,0.8180000000000001
980.0,0.885
133.0,0.639
956.0,0.583
328.0,0.669
294.0,0.838
371.0,0.623
824.0,0.877
196.0,0.718
60.0,0.289
172.0,0.34900000000000003
949.0,0.5630000000000001
177.0,0.869
183.0,0.686
205.0,0.328
223.0,0.654
356.0,0.714
161.0,0.747
75.0,0.225
261.0,0.879
989.0,0.5740000000000001
117.0,0.41400000000000003
369.0,0.735
130.0,0.626
224.0,0.72
968.0,0.527
329.0,0.656
856.0,0.587
238.0,0.314
368.0,0.598
506.0,0.073
949.0,0.61
330.0,0.639
389.0,0.674
915.0,0.616
130.0,0.579
218.0,0.271
762.0,0.659
326.0,0.632
110.0,0.372
296.0,0.438
193.0,0.595
182.0,0.908
161.0,0.682
314.0,0.55
57.0,0.329
875.0,0.605
170.0,0.554
247.0,0.877
140.0,0.651
170.0,0.674
981.0,0.883
143.0,0.685
942.0,0.606
271.0,0.577
186.0,0.708
148.0,0.419
578.0,0.502
967.0,0.9530000000000001
223.0,0.281
325.0,0.5670000000000001
946.0,0.925
294.0,0.546
103.0,0.445
222.0,0.72
767.0,0.857
954.0,0.93
230.0,0.875
592.0,0.618
251.0,0.733
284.0,0.5750000000000001
815.0,0.622
132.0,0.38
908.0,0.531
400.0,0.578
136.0,0.41600000000000004
940.0,0.768
915.0,0.669
371.0,0.721
779.0,0.5720000000000001
389.0,0.645
209.0,0.656
258.0,0.665
128.0,0.318
812.0,0.261
142.0,0.436
192.0,0.8270000000000001
959.0,0.609
74.0,0.368
195.0,0.422
291.0,0.726
131.0,0.319
239.0,0.892
195.0,0.917
159.0,0.659
366.0,0.624
133.0,0.305
136.0,0.405
954.0,0.538
112.0,0.315
361.0,0.607
949.0,0.649
812.0,0.363
210.0,0.636
640.0,0.584
127.0,0.183
285.0,0.762
14.0,0.33
272.0,0.599
284.0,0.783
132.0,0.705
101.0,0.311
235.0,0.541
35.0,0.623
169.0,0.874
198.0,0.897
171.0,0.8270000000000001
315.0,0.651
261.0,0.849
251.0,0.797
77.0,0.549
141.0,0.354
161.0,0.23700000000000002
949.0,0.56
299.0,0.615
273.0,0.843
361.0,0.715
303.0,0.7030000000000001
117.0,0.37
287.0,0.913
320.0,0.6970000000000001
92.0,0.29
151.0,0.6930000000000001
269.0,0.854
206.0,0.771
95.0,0.293
288.0,0.902
128.0,0.41500000000000004
965.0,0.589
146.0,0.223
308.0,0.704
277.0,0.745
989.0,0.876
192.0,0.796
372.0,0.759
808.0,0.354
134.0,0.353
299.0,0.876
191.0,0.542
293.0,0.72
205.0,0.921
98.0,0.34800000000000003
358.0,0.653
345.0,0.621
274.0,0.6910000000000001
179.0,0.581
193.0,0.273
257.0,0.811
938.0,0.643
917.0,0.502
230.0,0.768
877.0,0.562
144.0,0.674
358.0,0.677
885.0,0.396
674.0,0.97
297.0,0.768
63.0,0.438
282.0,0.901
229.0,0.371
212.0,0.759
314.0,0.616
124.0,0.595
277.0,0.891
209.0,0.932
925.0,0.524
362.0,0.662
954.0,0.633
503.0,0.425
305.0,0.665
98.0,0.376
210.0,0.8270000000000001
27.0,0.397
433.0,0.25
197.0,0.706
164.0,0.4
196.0,0.711
76.0,0.429
54.0,0.384
988.0,0.9
370.0,0.992
166.0,0.6920000000000001
181.0,0.8140000000000001
116.0,0.378
193.0,0.848
130.0,0.742
229.0,0.609
215.0,0.925
957.0,0.546
133.0,0.274
828.0,0.977
133.0,0.247
216.0,0.629
106.0,0.454
33.0,0.395
66.0,0.272
135.0,0.618
139.0,0.736
957.0,0.583
298.0,0.705
256.0,0.722
925.0,0.833
32.0,0.266
194.0,0.6890000000000001
51.0,0.436
856.0,0.907
170.0,0.996
296.0,0.892
497.0,0.8290000000000001
93.0,0.318
233.0,0.5730000000000001
897.0,0.643
328.0,0.602
831.0,0.656
381.0,0.23
366.0,0.614
100.0,0.269
247.0,0.722
216.0,0.744
937.0,0.527
67.0,0.323
913.0,0.546
860.0,0.023
270.0,0.552
751.0,0.659
290.0,0.673
180.0,0.275
980.0,0.962
296.0,0.784
218.0,0.644
322.0,0.584
96.0,0.44
901.0,0.5660000000000001
229.0,0.835
255.0,0.932
244.0,0.847
924.0,0.676
42.0,0.862
175.0,0.562
896.0,0.536
226.0,0.877
479.0,0.068
191.0,0.634
944.0,0.58
197.0,0.885
985.0,0.612
952.0,0.554
523.0,0.228
930.0,0.519
236.0,0.647
161.0,0.872
299.0,0.595
208.0,0.803
339.0,0.765
269.0,0.834
334.0,0.668
210.0,0.734
446.0,0.714
19.0,0.36
627.0,0.075
269.0,0.682
119.0,0.296
152.0,0.506
326.0,0.741
565.0,0.513
297.0,0.884
304.0,0.5730000000000001
327.0,0.747
305.0,0.011
116.0,0.279
127.0,0.35000000000000003
314.0,0.773
323.0,0.705
333.0,0.619
259.0,0.839
255.0,0.781
483.0,0.268
207.0,0.386
173.0,0.321
95.0,0.311
316.0,0.739
107.0,0.652
